Asset1,Asset2,Asset3,Asset7,Asset8,Asset9,B2B_purchase1,Capital1,CapitalRatio1,Cost1,Cost10,Cost11,Cost12,Cost13,Cost14,Cost15,Cost16,Cost17,Cost2,Cost3,Cost4,Cost5,Cost8,Cost9,Design1,Emp_female,Emp_male,Emp_total,EquityShareCapital,ITAssetC,Liability1,Liability2,Liability3,NProfitB4Tax,OutsourcingCost,Patent1,RNDcost1,RevProfit1,RevProfit2,TAssetC1,TAssetC2,TAssetC3,TAssetC4,TAssetC5,TAssetC6,TAssetC7,TAssetC8,TradeMark1,UMR1,emp2,emp3,emp4,emp6,emp66,emp7,emp8
97771,20851,24174.0,13017.0,29283.0,543.0,31753.0,33199,0.0,107885,2748,476.0,13.0,24.0,39482,4289.0,1848.0,26.0,8581,4289,116466.0,60171.0,13342,210,,41.0,197.0,238,20298.0,0.0,64572,25004.0,39568.0,-8051,,,,104784,7920,466.0,0.0,0.0,0.0,0.0,98.0,12.0,356.0,,,39,34.0,5.0,39,0.0,34.0,5.0
505485,130105,32225.0,199153.0,87920.0,11557.0,132689.0,427807,0.0,198725,5023,1221.0,11.0,-110.0,75459,4403.0,1119.0,1162.0,50205,4403,248930.0,135275.0,30787,1264,0.0,33.0,521.0,554,8000.0,0.0,77678,57811.0,19867.0,26293,164.0,0.0,,253673,25953,130.0,0.0,0.0,0.0,0.0,0.0,42.0,88.0,5.0,0.0,544,516.0,28.0,158,0.0,130.0,28.0
78333,10886,23629.0,19362.0,17019.0,24.0,35775.0,18809,0.0,95945,1101,484.0,2.0,-3.0,46737,3126.0,1462.0,33.0,4871,3126,100816.0,35926.0,16569,0,1.0,7.0,129.0,136,2800.0,0.0,59524,57506.0,2018.0,2784,0.0,2.0,,103081,3645,306.0,117.0,1.0,0.0,156.0,17.0,15.0,0.0,25.0,0.0,51,44.0,7.0,51,0.0,44.0,7.0
32742,10886,14822.0,327.0,1542.0,,,15853,0.0,57022,500,143.0,10.0,0.0,33797,633.0,188.0,16.0,4412,633,61434.0,16663.0,10177,144,0.0,5.0,108.0,113,3000.0,0.0,16889,10843.0,6046.0,591,,0.0,,61573,1085,744.0,0.0,0.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,16,13.0,3.0,16,0.0,13.0,3.0
4912,1953,556.0,25.0,2133.0,16.0,2688.0,3637,0.0,8066,557,59.0,1.0,0.0,5237,38.0,0.0,4.0,1039,38,9105.0,1088.0,2133,30,0.0,6.0,56.0,62,3115.0,0.0,1275,737.0,538.0,305,,0.0,,9293,155,769.0,0.0,82.0,146.0,172.0,0.0,12.0,357.0,0.0,0.0,6,4.0,2.0,6,3.0,4.0,2.0
53129,16421,1937.0,2287.0,24372.0,6396.0,12254.0,26790,0.0,31484,2612,211.0,19.0,2.0,33048,1308.0,301.0,23.0,22832,1308,54316.0,10428.0,7121,875,0.0,16.0,121.0,137,1976.0,185.0,26339,9657.0,16682.0,4043,3994.0,0.0,407.0,59039,628,9301.0,689.0,365.0,1264.0,3039.0,2478.0,29.0,1437.0,5.0,0.0,31,24.0,7.0,31,0.0,24.0,7.0
13057,6158,350.0,109.0,6347.0,,1327.0,9230,0.0,10742,228,96.0,0.0,9.0,7590,79.0,39.0,38.0,870,79,11612.0,1327.0,2212,150,0.0,3.0,48.0,51,1000.0,0.0,3827,3224.0,603.0,397,,0.0,,12039,49,428.0,94.0,0.0,0.0,49.0,159.0,126.0,0.0,0.0,0.0,5,4.0,1.0,4,0.0,3.0,1.0
10418,3735,2426.0,371.0,3828.0,1.0,,10014,0.0,3893,335,141.0,0.0,2.0,2053,96.0,2.0,12.0,1792,96,5685.0,535.0,2459,160,0.0,27.0,36.0,63,459.0,0.0,404,281.0,123.0,738,,0.0,3.0,6346,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7.0,3.0,10,1.0,7.0,3.0
759423,173328,188662.0,98467.0,281234.0,6049.0,529379.0,448505,0.0,925503,23327,2714.0,67000.0,-5.0,510522,8011.0,5972.0,462.0,351828,8011,1277331.0,520812.0,147093,5868,41.0,1207.0,1126.0,2333,19296.0,2295.0,310918,147092.0,163826.0,58751,,13.0,1426.0,1338174,5919,121391.0,13445.0,21473.0,17950.0,47911.0,620.0,17377.0,2615.0,669.0,0.0,490,281.0,209.0,282,1542.0,172.0,110.0
79897,17456,8706.0,6474.0,44854.0,1007.0,53671.0,47013,0.0,63630,901,316.0,34.0,775.0,0,1600.0,522.0,1.0,11378,1600,75008.0,67880.0,4828,274,0.0,22.0,74.0,96,18696.0,0.0,32884,20456.0,12428.0,1651,,0.0,386.0,77628,631,776.0,0.0,0.0,29.0,519.0,123.0,105.0,0.0,8.0,0.0,24,20.0,4.0,7,33.0,5.0,2.0
