ACCESS,ACR,AGEP,BATH,BDSP,BLD,COW,ELEP,FESRP,FKITP,FPARC,FSCHP,FTAXP,GASP,HHL,HHT,HINCP,LANX,MAR,MV,NRC,R18,R65,RAC1P,RMSP,RWAT,SCH,SCHL,SEX,VALP,VALP_B1
1.0,1.0,74,1.0,3.0,2.0,0,140.0,0,0.0,0,0,0.0,50.0,1.0,6.0,33400.0,2,3,3.0,0.0,0.0,1.0,1,5.0,1.0,1,21,2,200000.0,1.0
1.0,3.0,46,1.0,3.0,2.0,1,280.0,0,0.0,4,0,0.0,3.0,1.0,1.0,105000.0,2,1,4.0,0.0,0.0,0.0,1,6.0,1.0,1,16,2,850000.0,1.0
1.0,3.0,45,1.0,3.0,2.0,1,280.0,0,0.0,4,0,0.0,3.0,1.0,1.0,105000.0,2,1,4.0,0.0,0.0,0.0,1,6.0,1.0,1,16,1,850000.0,1.0
1.0,2.0,66,1.0,3.0,2.0,1,80.0,0,0.0,0,0,0.0,40.0,1.0,4.0,48410.0,2,4,5.0,0.0,0.0,1.0,1,6.0,1.0,1,18,1,90000.0,0.0
1.0,3.0,67,1.0,3.0,2.0,0,180.0,0,0.0,4,0,0.0,150.0,1.0,1.0,79900.0,2,1,7.0,0.0,0.0,2.0,1,7.0,1.0,1,22,1,150000.0,1.0
1.0,3.0,67,1.0,3.0,2.0,0,180.0,0,0.0,4,0,0.0,150.0,1.0,1.0,79900.0,2,1,7.0,0.0,0.0,2.0,1,7.0,1.0,1,21,2,150000.0,1.0
1.0,1.0,48,1.0,3.0,2.0,4,150.0,0,0.0,2,0,0.0,40.0,1.0,3.0,50200.0,2,3,5.0,1.0,1.0,0.0,1,5.0,1.0,2,21,2,50000.0,0.0
1.0,1.0,17,1.0,3.0,2.0,1,150.0,0,0.0,2,0,0.0,40.0,1.0,3.0,50200.0,2,5,5.0,1.0,1.0,0.0,1,5.0,1.0,2,13,1,50000.0,0.0
1.0,2.0,70,1.0,3.0,2.0,1,150.0,0,0.0,4,0,0.0,60.0,1.0,1.0,160900.0,2,1,6.0,0.0,0.0,2.0,1,7.0,1.0,1,22,1,180000.0,1.0
1.0,2.0,70,1.0,3.0,2.0,0,150.0,0,0.0,4,0,0.0,60.0,1.0,1.0,160900.0,2,1,6.0,0.0,0.0,2.0,1,7.0,1.0,1,21,2,180000.0,1.0
2.0,1.0,70,1.0,3.0,2.0,0,210.0,0,0.0,4,0,0.0,50.0,1.0,1.0,55100.0,2,1,7.0,0.0,0.0,2.0,1,7.0,1.0,1,21,1,275000.0,1.0
